customer,item,total,quantity,date
Cecilia Truran,Tango,696.02,1,2020-06-23T19:46:40Z
Helenka Jahns,Tango,957.86,12,2019-10-10T17:29:12Z
Tory Fearnehough,Bravo,952.52,9,2020-08-14T01:09:32Z
Dud Clampett,Alfa,384.49,10,2020-05-23T00:15:30Z
Carl Thackston,Dao,106.02,7,2019-07-24T05:21:50Z
Nessi Boam,November,614.86,6,2019-04-12T08:46:04Z
Dolly Paternoster,Quebec,278.38,11,2020-05-12T04:38:13Z
Martino Gimbrett,Bravo,417.28,9,2020-04-30T06:02:52Z
Baxie Goldes,Tango,687.57,2,2020-06-18T21:13:24Z
Emmit Karsh,X-ray,99.05,12,2019-01-16T03:11:34Z
