customer,item,total,quantity,date
Dolly Paternoster,November,741.29,4,2019-12-21T21:53:41Z
Tory Fearnehough,Dao,312.26,13,2020-09-04T23:38:48Z
Adorne Lott,Quebec,756.19,8,2019-04-27T17:19:07Z
Helenka Jahns,Delta,883.89,4,2019-07-26T11:44:43Z
Ilyssa Wagstaff,Alfa,837.52,6,2020-03-06T12:21:37Z
Emmit Karsh,Alfa,227.12,8,2020-04-28T07:14:26Z
Dolly Paternoster,Alfa,236.31,1,2020-07-21T07:54:49Z
Carma Carthy,X-ray,384.35,8,2019-01-01T07:46:08Z
Cecilia Truran,November,904.53,13,2020-02-23T18:06:48Z
Dolly Paternoster,Tango,573.37,14,2019-03-15T21:20:25Z
