customer,item,total,quantity,date
Martino Gimbrett,X-ray,356.36,9,2020-08-15T11:11:10Z
Tersina Sculley,Dao,638.38,12,2020-06-08T07:20:07Z
Martino Gimbrett,Tango,269.7,12,2019-12-14T13:57:04Z
Dud Clampett,Yankee,185.39,5,2019-01-05T11:27:18Z
Cecilia Truran,Zulu,391.19,8,2019-07-22T20:33:44Z
Baxie Goldes,Dao,225.07,2,2019-09-02T13:57:55Z
Carl Thackston,Dao,945.32,12,2019-07-08T21:58:36Z
Nessi Boam,Yankee,743.37,9,2020-07-05T04:42:27Z
Baxie Goldes,Alfa,753.87,12,2020-09-15T14:02:09Z
Martino Gimbrett,Delta,429.3,5,2019-06-14T05:17:45Z
